iter	Passed	Remaining
0	0	69
1	1	62
2	1	60
3	2	55
4	2	53
5	3	52
6	3	51
7	4	50
8	4	49
9	5	48
10	5	48
11	6	47
12	6	46
13	7	46
14	8	45
15	8	44
16	9	44
17	9	43
18	10	42
19	10	42
20	11	41
21	11	41
22	12	40
23	12	39
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	35
33	17	34
34	18	34
35	18	33
36	19	32
37	19	32
38	20	31
39	20	31
40	21	30
41	21	29
42	22	29
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	20
59	30	20
60	31	19
61	31	19
62	32	18
63	32	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	37	15
71	37	14
72	38	14
73	38	13
74	39	13
75	39	12
76	40	12
77	40	11
78	41	11
79	42	10
80	42	10
81	43	9
82	44	9
83	44	8
84	45	7
85	45	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
